Model Name,R2,MAE,RMSE,MAPE (%),n_features
LightGBM Tuned -- with_short_lags,0.9967030993484916,270.4943059757116,354.44376674842727,1.0862968497626326,36
LightGBM Tuned -- contemporaneous_exogenous,0.9617994576925255,886.5532272019107,1206.505142213798,3.5957546799265967,34
LightGBM Tuned -- leak_removed,0.8874557192788461,1519.3464111597702,2070.885694386257,6.395978324983539,22
