Model Name,R2,MAE,RMSE,MAPE (%)
CatBoost,0.9272347731709307,1192.404273472421,1665.161483748807,4.900780201361672
ExtraTrees,0.920953719086489,1255.4346010712177,1735.54202297796,5.0894533849476815
HistGradientBoosting,0.9197247412893571,1266.2644823805263,1748.9817186651699,5.127727908931787
XGBoost,0.9178682443278982,1273.0788661398276,1769.0901577926286,5.2664892760500495
MLP,0.9177567177646082,1315.8374441771873,1770.290872490355,5.332883959943033
LightGBM,0.8824379926272479,1531.7196701981272,2116.5469646404235,6.393345364168587
