Model Name,R2,MAE,RMSE,MAPE (%)
LightGBM Regressor (Tuned),0.9595982960192184,904.6800671405804,1240.7784849306063,3.5885320861002183
LightGBM Regressor,0.9590928034830853,912.319713357963,1248.5164580495834,3.605217623785542
XGBoost Regressor (Tuned),0.9567219414053337,932.4702835947273,1284.187086275196,3.762268779539023
XGBoost Regressor,0.9559450263477304,933.838823509976,1295.6624901819375,3.8105664277056186
Random Forest Regressor,0.9335275310984299,1143.0105433949418,1591.5317899477147,4.5466312460789995
Linear Regression,0.8449165265148935,2046.9881923894588,2430.9564176583376,8.109983178417707
SNaive Daily,0.8256966228065227,1849.664098173516,2577.1952010182754,7.370271683316979
SNaive Weekly,0.7764130548298723,2177.706472845623,2918.8893652427582,8.436012756796368
